Index,IPA
246,  । ।
247,a
248,a
249, 
250,a
251,a
252, 
253,- -।। 
254,a
255,n
256,।।।।।।।।।।।
257,a
258,  
259,a
260,।।।।।।।।।।।
261,a
262,a
263,a
264,  
265,  
266,। 
267, 
268,What ke  
269,।।।।।।।।।।।
270,।।।।।।।।।।।
271,   
272,    
273,  
274,"mum mum, mum,"
275,।
276,", ,।"
277,","
278,<> < < < <
279,a
280,কিন্তু তা নয় 
281,।।।।।।।।।
282,      
283,",,"
284,a
285,  ।।।
286,।।।।।।।।।।।।।
287,a
288,ch
289,<> <> <> <>। <
290,",,"
291,a
292, 
293,  
294,  
295,a
296,a
297,    
298,"??, ??।।।"
299,  
300,"হ, হ, হ,। "
301,<> < < <
302,< < 
303,?।
304,  
305,<> < <
306,a
307,a
308,???
309,।।।।।।।।।।।।।।
310,"।,"
311,???
312,a
313,  
314, 
315,",,,,,।"
316,?
317, 
318,a
319,a
320,।।।।।
321,",?"
322,That 
323," ে না। ে নাে না,    "
324,a
325, 
326,  
327, 
328,  
329,।।
330,a
331,a
332,a
333,a
334,   
335,  
336,a
337,a
338,।।।।।।।।।।।।।।।।
339, 
340, 
341,   
342,a
343,a
344, 
345,a
346, 
347,  
348,   ।  
349,a
350,a
351,   
352,    
353,।।।।।।।।।।
354,<> <<<<<<<<<<
355,a
356,।।।।।।।।।।
357,।।।।।।।।।।।।
358,<>।
359,। ।।।।।।।।।।
360,। 
361,a
362,"Yes, ,"
363,", ,"
364, ।।।।।।।।।।।।
365,।।।।।।।।।।।।।।
366,a
367,?    
368,I
369,<>।।।।।।।।।।।
370,।।।।।।
371,।।।।।।।।।।।
372,",ের,ে, "
373,   
374,a
375,a
376,<>
377, 
378,","
379,   
380,?
381,।।।।।
382,    
383,  
384,a
385,।।।।।।।।।।।
386,   
387,।।।।
388,a
389,What?
390, 
391,o
392,a
393,- - 
394,",,"
395,a
396,।।।।।।
397,",,, <>।,"
398,।।।।।।।।।।।।।।।।
399,??????।
400,।।।।।।।।।।।।।।।
401,।।।।।
402,।।।।।।।।।।।
403, 
404,???
405,a
406, 
407,??????
408,।।।।।।।।।।।।
409,।।।।।।।।
410, 
411,।।।।।।।।।।
412,",,!?"
413,","
414,।।।।।।।।।।
415,।।।।।
416,a
417,I
418,"।।, ।।, । "
419,।।।।।।।।।।।।।।।
420, 
421,e
422,",,,,,"
423,!!
424,।।।
425,",  "
426,।।।।।।।।।।।
427,।।।।।।।।।।।
428,। < < <
429, 
430,a
431, 
432,","
433,।।।।।।।।
434, ।।।।।।।।।।।।।।
435,a
436,   
437,??
438,","
439,a
440,","
441,  
442,a
443,a
444,।।।।।।।।।।।
445,a
446, ।
447,।।।।।।।।।।।
448,a
449,।।।।।।।।।
450,।।।।।।।।।
451,।।।।।।।।।।।।।
452, 
453, 
454,।।।।।।।।
455,।।।।।।।।।।।
456,।।।।।।।।।।
457, 
458, 
459, 
460, 
461,a
462, 
463,।।।।।।।।।।।।।
464,    
465,", "
466,  
467,।।।।।।
468,   
469,a
470, ।।।।।।।।।।।।।।।।
471,    
472,। ।।।।।।।।।
473,a
474,।।।।।।।।।।।।।।।।।
475,a
476,  
477,",,"
478,What
479,    
480,।।।।।।।।।
481,a
482,   
483,",ও,,"
484,।।।।।।।।।।।।।।।।।
485,   
486,a
487,<> <> <> <
488,।।।।।।।।।।।।
489,", , ,"
490,।।।।।।।।।।।।।
491,    
492,।।।।।।।।।।।।।।।।।
493,।।।।।।।।।।
494,  
495,।।।।।।।।।।।
496,।।।।।।।।।।।।
497,।।।।।।।।।।।।।।।।।।।
498,a
499," ,।"
500,a
501,।।।।।।।।
502,।।।।
503,  
504,      
505,", , ,"
506,।।।।।।।।।।
507,a
508,",,"
509,a
510,??????????।।
511,।।।।।।।।।।।।।।।।।
512,a
513,", ,,,,,,,,,,"
514,a
515,a
516, 
517,a
518,a
519,", ,"
520,   
521, 
522,",,"
523,a
524,"- - Father's chloric, "
525,< <eeeeeeeeeee
526,  
527, ।।।।।।।।।।।।।
528,a
529, 
530,   
531,a
532,    
533,।।।। কাপ।। কাপ।। কাপ।।।।।।।।।
534,আমি অনেক কিছু আমি অনেক কিছু    
535,a
536,I'm    
537,? 
538,<> <>।।।।।।।।।।।।।।।।।।।।।।।।
539,    
540, 
541,    
542, ।
543,।।।।।।।।।
544,।।।।।।।।।।।।।
545,   
546,",     "
547,a
548, 
549,   
550, ।।।।
551,।।।।।
552,a
553, ।।।।।।।।।।
554,।।।।।।।।।।।।।
555,I   
556, 
557,I       
558,I 
559,  
560,I'm   
561,     
562,"<> <>,। <>, <>, <>। <> <>। <>"
563, ।।।।।।।।।।।।।।।
564,", ,।।।।।।"
565,", ।।"
566,মাই। 
567,   
568,   
569,I knew it.
570,a
571,  
572,a
573,।।।।।।।।।।।
574,   
575, 
576,a
577,  
578,।
579,   
580,।।।।।।।।।
581,a
582, 
583,।।।।।।।।।।।।।
584,।।।।।।।।।।।।।।।।
585,a
586,<> <> <> <
587,a
588,     
589,।।।।।।।।।।
590,।।।।।।।।।
591,a
592,","
593, 
594,    
595,   
596, 
597," ,"
598,।।।।।।।।।।।
599,    
600,","
601,।।।।।।।।।।।
602,।।।।।।।।।।।।।।
603,a
604,।।।।।।।।।।।।।।
605,I'm not    
606,What?
607,     
608,    
609,"I,      "
610,।।।।।।।।।।।।।।
611,।।।।।।।।।।।।।
612,"What chtho, chtho, কী কইল,,,, ক,,,, ক,, What w happened, kd"
613,<>।।।।।।।।।।।।।
614,a
615,। ।
616,   
617,",,,।"
618,a
619,a
620,a
621,।।।।।।।।।।
622,।।।।।।।।।।।।।।।।।
623,a
624,।।।।।
625,।।।।।।।
626, 
627,   
628,   
629,a
630,     
631,a
632,a
633,   
634,।।।
635,"Bohcht, booch,eche,"
636,।।।।।।।।
637,।।।।।।।।।।।।।।।।।।।।।
638,।।।।
639,a
640,।।।।।।।।।
641,।।।।।।।।।।
642,"।,    "
643,<> < < <
644,।।।।।।।।।।।।।।।।
645,  
646,      
647,  
648, ।।।।।।।।
649,I    
650,", , ,,"
651,।।।।।।।।।।
652,    
653,"।,,"
654,<> < < < <
655,   
656,","
657, 
658,।।।।।।।।।।।।
659,     
660,    
661,।।।।
662,       
663,a
664,a
665,    
666,।।।।।।।।।।।।।।।।।
667,", যে,, ,।"
668,   
669,    
670,a
671,a
672,।।।।।।।।।।।।।।।।।
673,    
674, 
675,।।।।।।।।।।।।।
676,a
677,a
678,।।।।।।।।।।।।।।।।
679, 
680,    ।
681,    
682,<> < < < < 
683,   
684,",,"
685,।।।।।।।।।।।।।।।
686,    
687,  
688,I m   
689,ভালো। <> <>।
690,I  
691,।।।।।।।।
692,", কি,,,"
693,< < < < < < 
694,a
695,?
696,a
697,<> < < 
698,I m
699,    
700,     
701,?
702,a
703,a
704,"<> < ,"
705,", ,"
706,a
707,",।,,,,,,,,,,,"
708,"আমার, আমার, আমার, আমার, আমার, আমার, আমার, আমার,, আমার, আমার, আমার,,, আমার, আমার,। আমার, আমার,। আমার, আমার,।।।। ।। ।"
709,    
710,",,,,।।।।।।"
711,"? ওই, ওই।, নাকি, নাকি,"
712,a
713,  
714,"কিন্তু,"
715,    
716,a
717,I     
718,a
719, 
720,"কিন্তু, তা নয়। কিন্তু, তা নয়।"
721,।।।।।।।।।।।।।।।।
722, 
723,    
724, 
725,।।।।।।
726, ।।।।।।।।।।।।।।।
727,।।।।।।।।।।।
728,     
729,।।।।।।।।।।।।।।।।
730,    
731,  
732,a
733,।।।।।।।।।।
734, ।।।  
735,"কিন্তু , "
736,  
737, 
738, 
739,   
740, 
741,< < < 
742,a
743,","
744,",,,,,,,,,"
745,a
746, 
747, 
748,a
749, 
750,   
751,a
752,a
753,a
754, ।।। ।। 
755, 
756, 
757,a
758,।।।।।।।।।।।।।
759,","
760,। ।।।।।
761,  
762, ।।। 
763,     
764,     
765,"I,     "
766,   
767,     
768,    
769,    
770,a
771,।।।।।।।।।।
772, 
773,।।।।।।।।।।।
774,কিন্তু 
775, 
776,a
777,<> <>। <>।
778,    
779,  
780,< < < <
781,  
782,। নাকি? নাকি?।।।।।।।।।।।।
783,  
784,a
785,a
786,a
787, 
788,a
789,।।।
790,tkn 
791,     
792,    
793,।।।।।।।।।।।।।।।।।।।
794,। ।।।।।।।।।।।।
795,a
796,", "
797,?????
798,a
799,     
800,।।।।।।।।।
801,।।।।।।।।।।।।।।।।।
802,।।।।।।।।।।।
803,"<> <> < < <> < <>,,, আমার, < < < < < < < "
804,I m
805,<> <>। <>।।।।।।।
806,a
807,a
808,  
809,   
810,    
811,।।।।।।।।।।।।
812,a
813, । ।
814,a
815,a
816,a
817,।।।।।।।।।।
818,।।।।।।।।।।।
819,a
820,।।।।।।।।।।
821,a
822,What?
823,"Well, ,"
824,a
825,a
826,","
827,ইইই
828,a
829,a
830,a
831,।।।।।
832,।।।।।।।।।।।।।
833,  
834, 
835,।।।।।।।।।।।
836,   
837,"যা, যা, যা।, যা। Go, go, "
838,  
839,a
840,?  
841, 
842,   
843,   
844,--? 
845, 
846,  
847, 
848, 
849,"""  "
850, ।
851,  
852,      
853,a
854, 
855,  
856, 
857,    
858,।
859,   
860,     
861,a
862, 
863,  
864,",,"
865,   
866,","
867, 
868,",,,,    "
869, 
870,  
871, 
872,।।।।।।।।।।।
873, 
874,a
875, 
876,",।।।।।।।।।।,।।,।।।।"
877,।।।।।।।।।।।
878, 
879,a
880,a
881,সে
882,a
883,।।।।।।।।।।
884,।।।।।।।।।।।।।
885,  
886,।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।
887,   
888,ভাই
889,a
890,  
891,"I,"
892,""" ""। ।   "
893,   
894, 
895,  
896,  
897,।।।।।।।।।
898,I  
899, 
900, 
901,  
902,  
903,a
904,   
905, 
906,।।।।।।।।।।।
907,  
908,",    "
909,a
910,  ।।।
911,"কিন্তু, তা নয়। কিন্তু, তা নয়।"
912,   
913, 
914,।।।।।।।।।।।।।
915,  
916,।।।।।।।।।।।।।।।।
917, 
918,a
919,!।!।
920,    
921,a
922,    
923,     
924,",,"
925,।।।।।।।।।।।।
926,।।।।।।।।।।।
927,।।।।।।।।।।।।।।
928,।।।।।।।।।।।।।।।
929,।।।।।।।।।।
930,a
931,",,,, ওটা,,,,,,, ওটা, ওটা, ওটা, "
932,a
933,","
934,।।
935,।।।।।।।।।।।।।।।
936,a
937,?
938,।।।।।
939,।।।।।।।।।।।।।।।।।।
940,   
941,I     
942,।।।।।।।।।।।।।
943,! !!! !! !
944,a
945,a
946,।।।।।।।।।।
947,",,,,"
948, 
949,a
950,    
951,a
952,",    "
953,।।।।।।।।।।।।।।
954, 
955,।।।।।।।।।।।।।।।।
956,a
957,।।।।।।।।।।।।।।
958,।।।।।।।।।।।।।।
959,   
960,""" ""It's not, k"
961,  
962,    
963,সে 
964,a
965,।   
966,"<> <>, <>, <>, <>, <>। <>। <>, <"
967,a
968,< < < <
969,a
970,",,"
971,"কিন্তু, সে তো... ... কিন্তু, সে... ..."
972,।।।।।।।।।।।।।।।।।।
973,   
974,?  
975, 
976,।।।।।।।।।।।।।।।।
977,।।।।।।।।।।।।।।
978, 
979,a
980,।
981,  
982, 
983,   
984,a
985,  
986,  
987,   
988,   
989,a
990,।।।।।।।।।।।।।
991,"না, না, না, না, না,।"
992, 
993,?????
994,।।।।।।।।।।।।।
995,কিন্তু 
996,"কিন্তু ,,"
997, 
998,    
999,।।।।।।।।।।।।
1000,   
1001,  
1002,a
1003,।।।।।।।।।।।।।।
1004,আমি জানি। I do not know.
1005,তুই তুই।।।। । ।। ।।
1006,a
1007,।।।।।।।।।
1008,","
1009,     
1010,   
1011,a
1012,a
1013,    
1014,   
1015,<> <>। <> < 
1016,",      "
1017,।।।।।।।।।।।।।।।।
1018,a
1019,I m  
1020,I ll be    
1021,<> <>। <>।<><<<<
1022,।।।।।।।।।।।।।।।
1023,    
1024,।।।।।।।
1025,a
1026,   
1027,  
1028,।।।।।।।।।
1029,a
1030,  
1031,","
1032, 
1033,a
1034,।।।।।।।।।।।।।।
1035,।।।।।।।।।।
1036,a
1037,।।।।।।।।।।।
1038,।।।।।।।।।
1039,   
1040,।।।।।।
1041,a
1042,।।।।।।।।।।
1043,যাবো।।।।।
1044,   
1045,a
1046, 
1047,।।।।।।।।।।।।।।।।।।।
1048,।।।।।।।।।
1049,    
1050,a
1051,।।।।।।।।।।।।।।।।।
1052,  
1053,  
1054,।।।।।।।।।।।।।।
1055,a
1056,   
1057,    
1058,।।।।।।।।
1059,a
1060,   
1061,কোন আলামিন। । ।
1062,<>। <<
1063,a
1064,"<> <> <> <>, <> <"
1065,।।।।।।।।।।।।।
1066,  
1067,","
1068,", কিন্তুিইchneeeeee"
1069,   
1070,   
1071,।।।।।।।।।।।
1072,a
1073,।।।।।।।।।
1074,  
1075,     
1076,   
1077,     
1078,a
1079,  
1080,< < < <
1081,","
1082,><<>
1083,<> <> <>।।।।।।।।
1084,<> <> <>। <>। <>। <>
1085, 
1086,  
1087, 
1088,    
1089,<> < < < < <
1090,a
1091,।।।।।।।।।।।।।।।
1092,??।।।।
1093,।।।।।।
1094,","
1095,।।।।।।।।।
1096,  
1097,"কিন্তু, কিন্তু,, আমার, আমার, আমার, আমার, আমার, আমার,, আমার, কিন্তু, আমার,, আমার, আমার,, আমার,, আমার,, আমার,,, আমার,, আমার, আমার,"
1098,  
1099,।।।।
1100,     
1101,a
1102,    
1103,     
1104,",,"
1105,।।।।।।।।।
1106,।।।।।।।।।।
1107,"And he, held"
1108,a
1109,  
1110,।।।।।।।।।।।।।।।।।
1111,a
1112,।।।।।।।।।
1113,a
1114,     
1115,।।।।।।।।।।।।।
1116,a
1117,আমি জানি না 
1118,a
1119,  
1120, 
1121,",  ,।।।।।।।"
1122,I    
1123,  
1124,?
1125,।।।।।।।।
1126,  
1127,",  "
1128,।।।।।।।।।।।।।।
1129,","
1130,a
1131, 
1132,? 
1133,< < < <
1134,     
1135,  
1136,  
1137,।।।।।।।।।।।।।
1138,।।।।।।।।।।।।।।।।।
1139,।।।।।।।।।।।।।।।
1140,   
1141,a
1142,  
1143,a
1144,a
1145,a
1146,", ,"
1147,a
1148,"I know, h"
1149, 
1150,a
1151,a
1152,a
1153,     
1154,a
1155,  
1156,  
1157,   
1158,"।। , ,,"
1159,   
1160,?????????
1161,    
1162,।।।।।।।।।।
1163,       
1164,।।।।।।।।।।
1165,।।।।।।।।।।।
1166,।।।।।।।।।।।।।।।।।
1167,  
1168,।।।।।।।।।।।।
1169,??
1170,a
1171,a
1172,a
1173,", লাশ মা,,,"
1174,     
1175,    
1176,a
1177, 
1178,   
1179,<> <>। <>।।। <>। <>।
1180,", ,,,,,,,,,,,,"
1181,    
1182,   
1183,   
1184,", , , ,,"
1185,  
1186,  
1187,", ,"
1188,  
1189, ।।।।।।।।।
1190,a
1191,।।।।।।।।।।।।
1192,সৃতি  সৃতি
1193,a
1194,<> <> <> <> < < < < <
1195,  
1196, । ।
1197,??
1198,", ,,"
1199,"I'll go, ।।।।।।"
1200,?????????
1201,a
1202,a
1203,।।।।।।।।।।
1204,"<> <>, <>, <>, <>"
1205,     
1206,    
1207,    
1208,   
1209,<> <> <> <> <> <>। <> <
1210,", ,।।।,,।"
1211,a
1212,।।।।।।।।।।।।।।।।।।
1213,   
1214,।।।।।।।।।।।
1215,।
1216,   
1217,a
1218,  
1219,।।।।।।।
1220,।।।।।।।।।।।
1221,    
1222,a
1223,a
1224,।।।।।।।।।।।।।।।
1225,a
1226,a
1227,।।।।।।।।।।।।
1228,a
1229,।।।।।।।।।।।।।।
1230,।।।।।।।।।।।।।।
1231,< <  
1232,a
1233, 
1234,( ।
1235,?
1236,।।।।।।।।।।।।
1237,।।।।।
1238,<> <
1239,a
1240,"কিন্তু, কিন্তু, তা নয়।"
1241,   
1242,।।।।।।।।।।।।।
1243,   
1244,a
1245, 
1246,।।।।।।।।।
1247, । । ।
1248,।।।।।।।।।।।
1249,a
1250,।।।।।।।।।।
1251,।।।।
1252,a
1253,।।।।।।।।।।
1254,a
1255,?????
1256, 
1257,a
1258,।।।।।।।।।।।।।
1259,।
1260,।।।।।।।।।।
1261, ।
1262,।।।।।
1263,।।।।।।।।।
1264,a
1265,a
1266,।।।।।।।।।।।।।।।
1267,।।।।।।।।।।
1268,।।।
1269,।।।।।।।।।।
1270,  
1271,"So Saudi? So, Saudi?"
1272,  
1273,  
1274,।।।।।।।।।।।।।
1275,।।।।।।।।।।।
1276,   
1277,a
1278,   
1279,"না, আছে। না, আছে।"
1280,   
1281,<> <>
1282,but but   
1283,।।।।।।।।।
1284, । ।।।।।
1285,a
1286,।।।।।।।।।।।
1287,।।।।।।।।।।।।।।
1288,।।।।।।।।।।
1289,।।।।।।।।।।।।।।
1290,। <>। <> <>
1291,।।।
1292,।।।।।।।।।।
1293,a
1294,<>  ।।।।।।
1295,a
1296,  
1297,a
1298,a
1299,।।।।।।।।
1300,a
1301,   
1302,।
1303,।।। ।।।।।।।।।।।।
1304,।।।।।।।।।।।।
1305,।।।।।।।
1306,a
1307,<> <> <>।। <>
1308,a
1309,< <
1310,।।।।।।।।।।
1311,।।।।।।।।।।।
1312,।।।।।।।।।।।
1313,।।।।।।।।।।।।।
1314,a
1315,<>
1316,।।।।
1317,<> <> <>।
1318,a
1319,a
1320,।।।।।।।।।।।
1321,।।।।।।।।।
1322,।।।।।।।।
1323,a
1324,।।।।।।।।।।
1325,।।।।।।।।
1326,<> <>।
1327,a
1328,a
1329,<> <> <> 
1330,।।।।।।।।।।।।
1331,।।।।।।।।।।।।
1332,   ।
1333,<>
1334,।।।।।।।।।।।।।।।।।
1335,।।।।।।।।।।।
1336, ।।।।।।।।।।।।।
1337,।।।।।।।।।।
1338,  
1339, 
1340,  
1341,।।।।।।।।।।।।।
1342,।।।।।।।।।।।
1343,   
1344,।।।।।।।।।।।।।
1345,।।
1346,a
1347, 
1348, 
1349,a
1350,  
1351,a
1352,b b b
1353,a
1354,  
1355,।।।।।।।।।।।।।।।।।
1356,।
1357,a
1358,<> 
1359,<> < < < 
1360,।।।।।।।।।।।।
1361,।।।।।।।।।।।
1362,।।।।।।।।।।।।।।
1363,।।।।।।।।।।।।।।।।।।।।।
1364,।
1365,  
1366,।    
1367,।।।।।।।।।।।।।।
1368,a
1369,<>  
1370,।।।।।।।।।।।
1371,।।।।।।।।।।।।
1372,!!!!!
1373,।।।।।।।।।।।।।।
1374,।।।।।।।।।।।।।।।
1375,", ,,।"
1376,  
1377,<> < < <>
1378,।।।।।।।।।।।।।
1379,।।।।।।।।।।।।।।।।
1380,   
1381,কত দেব??।
1382,  
1383,।।।।।।।।।।।।।।।।
1384,।।।।।।।।।।।
1385,।।।।।।।
1386,।।।।।।।।
1387,।।।।।।।।।।।।।
1388,।।।।।।।।।।।
1389,a
1390,আম্ন। 
1391,।।।।।।।।।।
1392,<> <>। <>
1393,a
1394," ,"
1395,।।।।।।।।।।
1396,।।।।।।।।।।।।।।।
1397,   
1398,<>।।।।।।
1399,।।।।।।।।
1400,।।।।।।।।।।।।।
1401,<> <> <> 
1402,।।।।।।।।।।
1403,।
1404,।।।।।।।।।।।।।।।
1405,।।।।।।।।।।।।।।
1406,।।।।।।।।।।।
1407,।।।।।।।।।।।।।।।
1408,a
1409,। ।।।।।।।।।।
1410,।।।।।।।।।।।।
1411,a
1412,।।।।।।।।
1413,   
1414,  
1415,।।।।।।।।।।।
1416,।।।।।।।।।।।
1417,a
1418,a
1419,।।।।।।।।।।।।।।।
1420,",,,,,"
1421,।।।।।।।।।।।।
1422,।।।।।।।।।।।।।
1423,a
1424,।
1425,a
1426,।।।।।।
1427, 
1428,  
1429, 
1430,।।।।।।।।।।।।।।।।
1431,  
1432,।।।।।।।।।।
1433,  
1434,a
1435,a
1436,",,,"
1437,a
1438,।।।।।।।।।।।।।।
1439,।।।।।।।।।।।।
1440,<> <> <> <>। <> <> <> <>
1441,।।।।।।।।।।।।
1442,I   
1443,।
1444,।।।।।।।।।।।।।।।
1445,", উড়ি। "
1446, 
1447, 
1448,  
1449,। <>। <<<<<<< 
1450,।।।।।।।।।।।।।।
1451,  
1452,।।।
1453,a
1454, 
1455,।।।।।।।।।।।।।।।।
1456, 
1457,।।।।।।।।।।।
1458,a
1459,  
1460,<> <> < 
1461,।।।।।।।।।।।।
1462,????
1463,  
1464,।।।।।।।।।।
1465,a
1466,a
1467, 
1468,a
1469,",,,,।"
1470, 
1471,a
1472,a
1473,।।।।।।।।।।।।।।
1474, 
1475,"- -,। -nothing, o"
1476,  
1477,। 
1478,   
1479,।।।।।।।।।।।।।।।
1480,  
1481,??????
1482,- -।।। 
1483,a
1484,।।।।।।।।।
1485,a
1486,   
1487,।।।।।।।।।।।।।।
1488,",,"
1489,।।।।।।।।।।
1490, 
1491, 
1492,a
1493,a
1494,","
1495,  
1496,a
1497,।।।।।।।।।।।।।।।।
1498,।।।।।।।।।।
1499,a
1500,।।।।।।।।।।।।
1501,।। 
1502,a
1503,।।।।।।।।।।।
1504,a
1505,a
1506,     
1507,  
1508,।।।।।।।।।।
1509,a
1510,। ।
1511,।।।।।।।।।।।।।
1512,<>l
1513,a
1514,a
1515,a
1516,।।।।।।।।।।।।।।
1517, 
1518,   
1519,।।।।।।।।।।।।।।
1520,।।।।।।।।।।।।
1521,। <> < < 
1522,a
1523,    
1524,a
1525,  ।
1526,a
1527,"I,"
1528,  
1529,। ।।।।।।।।।।।।।
1530,a
1531,।।।।।।।।।।।।।।।
1532,।।।।।।।।।।।।।।।
1533,।।।।।।।।।।।।
1534, 
1535,a
1536,It
1537,।।।।।।।।।।।।।।।
1538,।।।।।।।।।।।।।।
1539,a
1540,।।।।।।।।।।
1541,।।।।।।।।।।।।।।
1542,     ।
1543,।।।।।।
1544,।।।।।।।।।।।
1545,।।।।।।।।।।।।।।।।।
1546, ।।।।।।।।।
1547,।।।।।।।।।।
1548,  
1549,<> <>। <। <
1550,I 
1551,।।।।।।।।।।।
1552, 
1553,।।
1554,।।।।।।।।।।
1555,।।।।।।।।।।।।।
1556,  
1557,  
1558,।।।।।।।।।।।।।।।
1559, 
1560,।।।।।।।।।।।
1561,a
1562,a
1563,।।।।।।।।।।
1564," , "
1565,",।।,,,।"
1566,a
1567,a
1568,a
1569,a
1570, 
1571,   
1572,।।।।।।।।।।।
1573,a
1574,।।।।।।।।।।।।।।।।
1575,।।।।।।।।।।।।।
1576,।।।।।।।।।।।।।।
1577,a
1578,। <>। <> 
1579,।।।।।।।।
1580,।।।।।।।।।।।।।।।।
1581,<>।।।।।।।।।।।।
1582,।।।।।।।।।।।।।।
1583,",।"
1584,।।।।।।।।।।
1585,<।।।।।।।।
1586,<
1587,।।।।।।।।।।।।
1588,।।।।।।।।।।
1589,a
1590,।।।।।।।।।।।।।।
1591,।।।।।।।।।।।।।
1592,।।।।।।।।।।।।
1593, 
1594,।।।।।।।।।।।
1595,<> <<<<<<
1596,।।।।।।।।।।।।।।।।।।
1597,<> <>। <> <>
1598,a
1599,।।।।।।।।।।।।।।।
1600,।।।।।।।।।।।।।।।
1601,।।।।।।।।।।।।
1602,"আছে, আর, আর,,, আর, আর,।"
1603, 
1604,।।।।।।।।।।।।
1605, ।।
1606,?
1607, 
1608,a
1609,।।।।।।।।।।।
1610,a
1611,।।।।।।।।।।
1612,",,।,।।।।"
1613,a
1614, 
1615,  
1616,a
1617, 
1618,a
1619,    
1620,a
