id,string
27,kɐlɪ phɔʃomɪt̪ ɔnekɟɔne d̪ɪʃe ɛtɐ।
28,kɪ t̪ɐ kɪ?
29,"o͡ɪ̯ɟe t̪ɐɾɐɾ ɟẽ, t̪ɐɾɐɾ <> t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hoʃɪl nɐ।"
30,t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hoʃɪl।
31,<> ɐʃole e͡ɪ̯t̪ɐ ho͡ɪ̯lo ʃɔmone d̪uɾbɦok d̪ekhɐ d̪ɪbe t̪ɐɾ ɛkt̪ɐ ʃɔɾon।
32,ɐɾe ɛktɐ bol ɟekon ɛktɐ ʃɔɾon mu͡ɪ̯ t̪o ko͡ɪ̯ʃu d̪ekhɪjɐ।
33,"kɔ͡ɪ̯lkɐ bole, t̪ɐmɐn ɐʃʃo bole ɪjɐ ho͡ɪ̯be।"
34,"e͡ɪ̯ ɟɔne ɔneke ko͡ɪ̯ce ɟe, ɛk bɔbɐɾeɾ khɐbɐɾ moɟɪt̪ ɾɐkhɐɾ ɟɔne।"
35,<> ɐllɐ!
36,"ɾɐɟɐ pɔnoɾo d̪ɪnot̪, khɐbɐɾ kɪcu mɔɟt̪ɪ ɾɐkhɐɾ ɟɔne।"
37,ʃɔɾɐʃe?
38,"ʃɔbʃɔɾ nɐ, bɪbɦɪn ɟɔje bɔɽt̪eche ɐɾ kɪ।"
39,"cɔɾ, o͡ɪ̯glɐ kɔt̪ɐ ko͡ɪ̯ʃ nɐ, ʃɐd̪ɐɾ <>"
40,ʃɔɾɐʃe d̪ee̯ nɐ͡ɪ̯ <> e͡ɪ̯ ʃɔmoʃɔɾeɾ ɟɔg।
41,"ɟɐmɐɾ mɔɟɪt̪ ɾɐge, t̪ɐmɐɾe ɛkn khɐbɐɾ pɐɾe nɐ।"
42,e͡ɪ̯tɐe̯ ɟɐnɪ ɾɐk।
43,"ʃe͡ɪ̯tɐ t̪o pɐɾe nɐ, kɪnt̪u ɔnekɪ͡ɪ̯ ko͡ɪ̯ce ɐɾ kɪ, ɟe ʃuʃpɔɾbɐɾ, poɟɔm ɾomɟɐn ʃuʃpɔɾbɐɾ, mɐɟeɾ ɾomɟɐn ʃuʃpɔɾbɐn ʃuʃpɔɾbɐɾ, mɐɟeɾ ɾomɟɐn ʃuʃpɔ"
44,"ɛktɐ cɪnd̪ɦɐ d̪ekhɐ gelo ɐʃɐt̪ e͡ɪ̯tɐ ho͡ɪ̯lo ɾuʃbɦɔɾeɾ ɛktɐ ʃɔɾon, ɛktɐ ɐhɐɾon mohɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐhɐllɐh"
45,"ʃɐkɾbɐɾ, ʃɐkɐɾbɐɾ t̪o pɔɾbe bɐɟɐt̪ ʃɐʃe ɾomɟɐn ʃɐpbɐɾe pɔɾe nɐ͡ɪ̯।"
46,<> pɐ͡ɪ̯ɽcche t̪o ʃɔɾl t̪ɐɾɪd̪।
47,pɔɽche t̪o।
48,<> pɔneɾo t̪ɐɾɪt̪ pɔɾbe nɐ ʃuʃpɔbɐɾ।
49,ʃolo t̪ɐɾɪ ʃolo।
50,ʃolo t̪ɐɾɪk koɾben?
51,"ho,et̪ɪ pɐt̪om ɾɔmɟɐn ʃuʃpɔɾbɐɾ ho͡ɪ̯lo nɐ?"
52,t̪ɐ͡ɪ̯le mɐɟeɾ ɾomɟɐn͡o̯ ʃuʃpɔbɐɾ ɐ͡ɪ̯ʃe।
53,"mɐɟeɾ, pɐt̪ɪd̪ɪn t̪o koɾt̪e ɐcɪ, ʃuʃpɔbɐɾ t̪o, <> ɐɾe mɐɟeɾ ɾomɟɐneɾ kɔt̪ɐ ko͡ɪ̯ce।"
54,mɐɟeɾ ɾomɟɐn pɔnoɾo pɐɾ ho͡ɪ̯le?
55,"ho,h।"
56,"ʃolo ɾɐɟɐ, ʃe͡ɪ̯tɐ ʃuʃpɔɾbɐɾ pɔɽbe?"
57,"e͡ɪ̯ t̪o ɐgeɾ bɐlɐ͡o̯, e͡ɪ̯ mot dɐkpɐɾ nɐge, mu͡ɪ̯ kɔ͡o̯, oɾe ɐllɐ!"
58,ʃɔbɐɾ cɔke pɔɽbe।
59,"<> e͡ɪ̯glɐ ʃono, moɾɐnmɐn e͡ɪ̯glɐ kɪcu kɔ͡o̯ ɟɐbɐnɐe̯, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾ"
60,"o͡ɪ̯ ɟe, ɛkbɐɾ ho͡ɪ̯lo cɐ̃d̪eɾ moɟd̪d̪e kɪ?"
61,oɾe ɐllɐ!
62,o͡ɪ̯ ɟe ʃɐ͡ɪ̯d̪ɪ bɔʃɪ ɐce।
63,e͡ɪ̯glɐ kɔ͡o̯wɐ ɟɐe̯ nɐ।
64,"t̪ɐ͡ɪ̯ ɟe ɛkbɐɾe nɐphɐmɐnɪ, ɟɐmɐɾ e͡ɪ̯tɐ bɐnɪʃ ko͡ɪ̯ɾbe।"
65,e͡ɪ̯tɐ bɔlɐ ɟɐbe nɐ।
66,"ɐɾe otɐ ɛktɐ, bɦɐjɐ ɛktɐ ɪjɐ͡o̯ ɾɐtɐ͡ɪ̯chɪlo।"
67,o͡ɪ̯ɟe ʃɐ͡ɪ̯d̪ɪ pɐgɾɪ d̪ɪjɐ bɔʃɪ ɐce।
68,o͡ɪ̯ ɟe ɐmɐɾ ɐchɪlo nɐ?
69,moɾ ʃɐt̪e e͡ɪ̯ ɟe kɐɟɐnɪ e͡ɪ̯khɐn nɪjɐ।
70,kɔe̯ kɪ?
71,"kɔe̯ bole, ɐʃole o͡ɪ̯tɐ ʃɐ͡ɪ̯d̪ɪ।"
72,bɔe̯ t̪u͡ɪ̯ moʃɐmɐne nɐ͡ɪ̯ʃ।
73,"<> ɐllɐɾ kɐce ɐɾɐd̪ɐ koɾɪ ɐɾ, mɔɾonɐ kono gelo?"
74,ɐllɐ ɟe kɪ koɾbe!
75,ɐce ode।
76,"kɛmon, ɐllɐe̯ ɟod̪ɪ ɪmɪn ɐmɐne ɟod̪ɪ bɦɐnɐm koɾɐe̯, ʃe͡ɪ̯tɐ ɐllɐɾ kɐce bɪʃɐl।"
77,ʃe <> bɪjɐ koɾce?
78,"ho, ɐɟhɐɾ bɪjɐ koɾce, phɪɾ chɐ͡o̯wɐ ho͡ɪ̯ce uɾɐɾ।"
79,"ɐɟhɐɾ bɪjɐ koɾce phɪɾ moɾe ho͡ɪ̯lo ɪjɛk bɛd̪ɔn, moɾ o͡ɪ̯ ɟɐtɐt̪o bo͡ɪ̯neɾ bɪjɐ hɔe̯ nɐ͡ɪ̯?"
80,"t̪ɐɾe nɪd̪ok bɪjɐ koɾce, d̪ɛktu mu͡ɪ̯।"
81,"o͡ɪ̯ ɟe, omɐɾ bɐɽɪt̪o ɟe ɐchɪlo।"
82,ɐɾe omɐɾ bɐɽɪt̪o nɐ͡ɪ̯jɐe̯।
83,ɐɾe kon ɐst̪ɐɾeɾ kɔt̪ɐ koɾ?
84,ete ɟe phɐɾɐmɐt̪ ɐchɪlo।
85,"ho, ʃe͡ɪ̯ ɐnd̪ɐɾeɾ kɔt̪ɐ kɔɾ nɐ <> nɐ,nɐ o͡ɪ̯ ɪcɐkɐd̪ɐɾ।"
86,"o, ʃe͡ɪ̯ ɐmɐɾ bɪjɐ koɾe nɐ͡ɪ̯।"
87,"bɪjɐ koɾce, dɪbɦɐʃ ho͡ɪ̯ce, ɐbɐɾ"
88,"e͡ɪ̯ŋgɐe̯ ɪcɐkɐd̪ɐɾeɾ ɐmɐ͡ɪ̯jɐɾ, ɪcɐkɐd̪ɐɾ ɐmɐjɐɾ।"
89,"ellɐ o͡ɪ̯ ɟe, ujɐɾ cɐct̪o bɦɐ͡ɪ̯, ɟelɐt̪o bɦɐ͡ɪ̯, ɟelɐt̪o bɦɐ͡ɪ̯, ɟelɐt̪o bɦɐ͡ɪ̯।"
90,o͡ɪ̯ ɐmɐɾɐɾeɾ ʃɐt̪e ujɐɾ mɪle nɐ͡ɪ̯।
91,"nɐ go, ɟɐ͡ɪ̯।"
92,ɐ͡ɪ̯ɟkɐ kɪ khɐ͡o̯wɐ-d̪ɐ͡o̯wɐ kɪ koɾce?
93,"ɐ͡ɪ̯ɟkɐ ho͡ɪ̯lo dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪ"
94,kɪnt̪u ʃo͡ɪ̯nd̪ɪjɐe̯ t̪o o͡ɪ̯ dɪm-dɪl ɐɾ ɐɾ
95,"e͡o̯ t̪o, cɐcɪ ɾɐɟɐ t̪hɐke nɐ?"
96,"nɐ, ʃo͡ɪ̯nd̪ɦɐm, ɐɾ ɾɐ͡ɪ̯t̪o, ʃɪhenɪɾ ʃɔmɔe̯, cɐcɪ ɾɐ͡ɪ̯ɟɐ t̪hɐke nɐ?"
97,"hum, t̪hɐke।"
98,ɾɐɟɐ t̪hɐ͡ɪ̯kpɐnɐe̯?
99,"ʃɪhɐɾɪɾ ʃɔmɐe̯ ɛkbɐɾ e͡o̯ koɾɪm, bɐ͡ɪ̯gɐn o͡ɪ̯glɐ bɦɐɟɪm, dɪm bɦɐɟɪm।"
100,"o͡ɪ̯ ɟe, ge͡ɪ̯ce ɾo͡ɪ̯।"
101,"kɔ͡ɪ̯lkɐ mɐc ɐnd̪ɪm, lɐ͡u̯ d̪ɪjɐ।"
102,lɐ͡u̯konɐ kɔ͡ɪ̯gɔbe।
103,"o͡ɪ̯, phɪɾd̪ɪɾ mɐ͡o̯ lɐ͡u̯ d̪ɪjɐ ɐcce, o͡ɪ̯nd̪ɔn ɐnd̪ɪbɐɾ ko't̪o।"
104,kɛ ɾe͡ɪ̯?
105,"phɪɾd̪ɪʃ mɐ͡o̯ kɔ͡ɪ̯lkɐe̯ nɪjɐ ɟɐbe, nɐ ɐ͡ɪ̯ɟkɐe̯ nɪjɐ ɟɐ͡ɪ̯be?"
106,mɐc nɐ͡ɪ̯?
107,lɐ͡u̯ khɐbɐnɐe̯।
108,mɐc nɪjɐ ɐ͡ɪ̯ʃo hɐp keɟɪ ɟɐjɐ।
109,"kɔ͡ɪ̯lkɐ mɔk nɪjɐ ɟɐbɐɾ ko͡ɪ̯lo, mu͡ɪ̯ kɔŋ mɐ͡ɪ̯nʃoŋ, mu͡ɪ̯ kɔŋ mɐ͡ɪ̯nʃoŋ, mu͡ɪ̯ kɔŋ mɐ͡ɪ̯nʃoŋ d̪e͡o̯ <> hɐmɐk d̪ɪlo nɐ kɛ?"
110,lɐ͡u̯?
111,lɐ͡u̯ khɐn?
112,lɐ͡u̯ nɐ͡ɪ̯ t̪o।
113,<> ɔ͡ɪ̯nnɐt̪e mu͡ɪ̯ nɪjɐ genu hɔe̯।
114,lɐ͡u̯ khɐn t̪oɾɐ?
115,mɐc t̪u͡ɪ̯cchoŋ।
116,khɐe̯ nɐ?
117,"ɐmɐe̯ bɔɽle, lɐ͡u̯ ɐnɐ lɐgbe।"
118,"lɐ͡u̯, ʃɐd̪eɾ lɐ͡u̯।"
119,o͡ɪ̯ mɪnɪɾ mɐ͡o̯’ɾ lɐ͡u̯ ɐce।
120,o͡ɪ̯ ɐnd̪ɪle mu͡ɪ̯ omɐɾ t̪hɐkɪ nɪjɐ ɟɐ͡ɪ̯m।
121,omɐɾ lɐ͡u̯ ʃeɟe nɐ।
122,ebɐɾ lɐ͡u̯ phɪɾ d̪ekho t̪o kɔjtɐ bɐɟe?
123,<> bɪʃɪɾ mɐɾ lɐ͡u̯ phɪɾ hɔɟɦɔle hɔjɐ ɟɐe̯।
124,ʃɐɽe cɐ͡ɪ̯ɾte bɐɟe।
125,"<> ɛke <> ho͡ɪ̯lɔ͡o̯ hɔ͡ɪ̯lgole, ɛke pɐcɐ ho͡ɪ̯lgole ɐɾo hɔ͡ɪ̯lgolle।"
126,e͡ɪ̯nne ɟɐn nɐ͡u̯ nɐ͡u̯jɐe̯?
127,"mu͡ɪ̯ o͡ɪ̯ mɐch, o͡ɪ̯ lɐ͡u̯jeɾ ɟonne mɐch bɐ͡ɪ̯ɾ koɾmo nɐ ɟe ko͡ɪ̯ɾke mu͡ɪ̯ lɐ͡u̯ mɐch bɐ͡ɪ̯ɾ koɾmo nɐ ɟe ko͡ɪ̯ɾke mu͡ɪ̯ lɐ͡u̯ mɐch bɐ͡ɪ̯ɾ koɾmo nɐ ɟe ko͡ɪ̯ɾke mu͡ɪ̯ɾ"
128,kono t̪hɐkɪ lɐ͡u̯ nɪben?
129,kɐɾ lɐ͡u̯?
130,moɾ bɦɐ͡ɪ̯te e͡ɪ̯ kɔjd̪ɪn ɐchɪlo।
131,mɐch kenɐ nɐge nɐ͡ɪ̯।
132,kɛ kɛde t̪he kɪ <> ɐɟ kɔt̪d̪ɪn t̪he kɪbe?
133,oɾe ɐllɐh!
134,o͡ɪ̯ ɟe cɪjɐɾmenok bɪɟɪ ɾɐkhche।
135,ɛkbɐɾe ɛk moɾon koɾɪ ɐnchɪlo।
136,ɐd̪ mɔn koɾɪ ɐnchɪlo।
137,ɟe ɛkhonɐ ho͡ɪ̯lo chɔjtɐ bɐɾo t̪eɾokheno lɐ͡u̯je d̪ɦɔche ɐgeɾ chɔjtɐ।
138,"ɐɾo pɐʃtɐ <> e͡ɪ̯ ɟe ʃɐg ɟe bɐchɪlo, ʃɐg d̪ehɐ pɐt̪ɐ kɔt̪okɐɾɐ, dɐtɐgulle d̪ehɐ kɔt̪ogulle?"
139,<> obɐɾ bɐɾo t̪eɾdɐ d̪ɦɐchɪlo।
140,<> e͡ɪ̯ gɐche d̪ɦɐche chɔjtɐ।
141,hɐmɐɾ ɛkd̪ɪn ɛktɐ khɐchɪ।
142,e͡ɪ̯e̯!
143,ed̪ɪ ɾe <> phɪɾ eɾ phɪɾ mɪchɐ kɔt̪ɐ ʃuʃe hɔe̯ kɔjd̪ɪn d̪eche।
144,<> kɐe̯?
145,<> khɐbɐɾ ko͡ɪ̯chom।
146,d̪ee̯ nɐ͡ɪ̯ <> e ko͡ɪ̯ moɾ bɦɐk nɐche?
147,e͡ɪ̯।
148,d̪ehɐ t̪o।
149,mok ɟe ko͡ɪ̯chom moɾ bɦɐk nɐche mok <>
150,mɐŋ kono mɐŋ।
151,hɐ hɐ hɐ।
152,mɐŋ।
153,e <> bɐɽɐʃ।
154,<> elɐ t̪o o͡ɪ̯ ɟe elɐɾ bole <>
155,odɐ ɪjɐɾ bɐɽɪt̪o t̪hu͡ɪ̯che t̪o।
156,"nɐ, moɾ bɐ͡ɪ̯t̪o <> ɟɐmɪ͡ɪ̯ɾ bɐɽɪt̪o t̪hɪche, ɾɐkhche।"
157,ɾɔŋpɐɾet̪ ɟe͡ɪ̯te bɐʃɐ।
158,lɪnɪje koɾe nɐ͡ɪ̯ bole।
159,tehɐ lɐge lɐge d̪ɪche।
160,teh nɐge d̪ee̯।
161,o͡ɪ̯pɐʃe ɾɐm pɔɽe।
162,ɾɐʃ pɔɽɪ pɔɽe ɪjɐ ho͡ɪ̯be।
163,phetɐe̯ d̪ɪbeɾ nɐ͡ɪ̯।
164,<> gɐ͡o̯ d̪ɦo͡o̯ nɐ͡ɪ̯?
165,e͡ɪ̯d̪eɾ phun ho͡ɪ̯be।
166,o͡ɪ̯d̪eɾ phun hobɐɾ nɐ?
167,o͡ɪ̯pɐʃe ɾɔd pɔɽɪ pɔɽɪ pɔɽɪ pɔɽɪ bɦɐlo nɐge nɐ?
168,mɔlɐ pɔɽɪ pɔɽɪ lɐ͡ɪ̯n koɾɪ d̪ɪbe।
169,t̪ɐɾ pɔɾeʃe ʃukle <> mɐlɐʃt̪ɐ bɦɐlo lɐge?
170,ɐɾ t̪hɐkɪne bɐbɐ ɟɐ͡ɪ̯।
171,kɪ ɐnd̪ɪben betɪ?
172,"pɐkʃɐk koɾom mɐch pɐ mɐch, begol, ɐlu, kɐlɐ͡ɪ̯ɾ bɔɾɐ bɦɐɟom d̪u͡ɪ̯te।"
173,e͡ɪ̯te e͡ɪ̯te d̪ekhɪ mɐlɐʃt̪ɐ pɔɽɐ <>
174,e͡ɪ̯ nɪje ɟɐe̯ nɐ kɛmbɐ e͡ɪ̯?
175,ɐllɐe̯ ɟɐne।
176,kɪ ɟe ʃɔjt̪ɐn dɦuŋche!
177,pɔ͡ɪ̯ɽbeɾ nɔ͡ɪ̯ʃ ɐɾ mɐlɐʃɐ?
178,kɪ ko͡ɪ̯!
179,"ɟod̪ɪkɐ ko͡ɪ̯, gɐt̪ɐɾ ɾɔɾ d̪ɪje ɟɐ͡ɪ̯be bole bo͡ɪ̯।"
180,ɟɐɽe kɔ ɛkhonɐ।
181,buɟchɪʃ?
182,"ɐɾ o͡ɪ̯ ɟe kɔe̯ ɟe, ""mɪlɪ betɪ ʃɔmon।"""
183,"o͡ɪ̯ ɟe ɐgeɾkɐɾ mɐ͡ɪ̯nʃe ko͡ɪ̯che, ""gɐch guɾle hɔe̯ gotɐ।"
184,bɐp guɾne hɔe̯ betɐ।
185,mɐ͡o̯ guɾne hɔe̯ chɐ͡o̯।
186,"phutɐe̯ guɾne hɔe̯ nɐ͡o̯।"""
187,e͡ɪ̯lɪje ellɐ͡o̯ e͡ɪ̯lɪje mɪt̪t̪ɪje।
188,hɔe̯ e͡ɪ̯ɾɔkom?
189,hɔe̯ nɐ mɐne?
190,ɔboʃʃo͡ɪ̯।
191,hɔe̯?
192,"hɐmɐɾ mɐ ɟemon ɟɪnnɐn ɟɦɔɾeʃ kɔɾɪ hɐmɐɾ mɐ͡o̯k gɦɔɾeʃ d̪ekhchɪ, od̪eʃ koɾɪ hɐmɐɾ mɐ͡o̯k gɦɔɾeʃ d̪ekhchɪ।"
193,o͡ɪ̯ ɟe ʃɐɟɐneɾ bɐp ɟɦɔmon khɐɟɐne d̪ekhche ɛkhonɐ kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu
194,kɐɟ kɐɟeɾ d̪ɦɔɾon ʃɐɟɐneɾ kɪnt̪u ɐlce।
195,"ʃɐt̪ɪɾ mɐ͡o̯ ɟemon cɔle, ʃe͡ɪ̯d̪o kɪc d̪ɦɔɾon-d̪ɦon ʃɐt̪ɪɾ ɐlce।"
196,ɐɾo kuhɐ।
197,ɔt̪o nɐ͡ɪ̯jɐe̯।
198,"kɔt̪ɐ t̪ɪke, ɐgeɾ mɐ͡ɪ̯nnɐe̯ ɟe ko͡ɪ̯ce, t̪ɪke, kɔt̪ɐ khɐɾɐp nɐ͡ɪ̯jɐe̯।"
199,"o͡ɪ̯ ɟe, e͡ɪ̯ d̪ɪnot̪, ʃɐhɪn ɐɾ phɪɾuɟ, hum।"
200,"phɪɾuɟ ɛknɐ ɛkkeɾe gotɐle ujɐɾ bɐpeɾ mɔt̪oʃo d̪ɦɔɾon-gɦɐln, kɔt̪ɐ-bɐt̪ɐ-phɪɾɐ, mɐ͡ɪ̯nʃeɾ ʃɐt̪e ɛ͡o̯ kɔɾɐ, o͡ɪ̯tɐ ɐce।"
201,ɐɾ ʃɐhɪntɐ ho͡ɪ̯ce d̪u͡ɪ̯jɐɾ muk mond̪ɐ।
202,<> khɐɾɪntɐ ho͡ɪ̯ce ujɐɾ mɐɾ mɔt̪oʃ।
203,ɐɾ phɪɾuɟ ho͡ɪ̯ce ujɐɾ bɐpeɾ mɔt̪om।
204,e͡ɪ̯llɐ kɐɾ gɦɐʃ ettugulɐ?
205,omɐɾe gɦɐʃ t̪ulɪ nɪjɐ ɐ͡ɪ̯no।
206,"<> bole ɛktɐ, ɟe kono ɛktɐ ɪŋgɪt̪o <> ge͡ɪ̯che।"
207,"ɟe ede ɟe pɐnd̪t̪om ɾomɟɐn, kemon <> d̪ekchen?"
208,pɐnd̪t̪om ɾomɟɐn।
209,"e͡ɪ̯ ɟe, nɐjɐe̯, nechot̪, nechot̪o ho͡ɪ̯lo, pɐnd̪t̪o ho͡ɪ̯che bɐ, bɐ, pɔɾeɾd̪ɪn ho͡ɪ̯che bɐ, bɐ, pɔɾeɾd̪ɪn ho͡ɪ̯che bɐ, bɐ, pɔɾeɾd̪ɪn ho͡ɪ̯che bɐ, bɐ, pɔɾeɾd̪ɪn ho͡ɪ̯che bɐ"
210,e͡ɪ̯ pot̪om ɾomɟɐn ʃuʃpɔɾ।
211,"phon, e͡ɪ̯ photɐtɐ nechot̪।"
212,mɐɟeɾ ɾomɟɐn ɐce nɐ?
213,edɐ͡o̯ ho͡ɪ̯lo ʃumbɐɾ।
214,"e͡ɪ̯dɐ nɔbɪ ʃɐɾt̪hɐʃɐlɐm bole kɔ͡o̯wɐt̪ɐ͡o̯ ge͡ɪ̯che ɟe, poɟɦom ɾomɟɐn ʃuʃpɔbɐɾ ho͡ɪ̯be।"
215,ʃolo t̪ɐɾɪk ɐce nɐ?
216,ʃolo t̪ɐɾɪk͡o̯ ho͡ɪ̯lo ʃuʃpɔɾbɐɾ।
217,"bɐ, bɐt̪ t̪o phutɐ ɐce।"
218,"ho, o͡ɪ̯ phetɐ ɐce t̪o।"
219,e͡ɪ̯ ɟe edɐ ʃuʃoʃo d̪ekhɐ d̪ɪbe bɐe̯।
220,ʃetɐ <> ɐhɔɾon muhɔllɐʃɐlɐmɐlɐmne bole kɔjɐ ge͡ɪ̯ce।
221,t̪ɐɾ ɐgɔt̪o
222,ellɐ kemon ɐcɪʃ?
223,kɛmon ɐcɪʃ?
224,"ɐlhɐmd̪ɐlɪllɐ, bɦɐlo।"
225,"t̪oɾ ʃɐt̪e e͡ɪ̯nɐ gɔɟob koɾɪm, mobɐ͡ɪ̯lot̪o ɾɔŋb koɾɪm, ʃɔmoʃʃɐ ho͡ɪ̯be?"
226,enot̪ɐ koɾɪm ɐɾ kɪ।
227,"gɔt̪t̪o-ɟɔbo koɾmo, ɐlɐp-ɐlɐp-ɐlɐpʃɐ koɾmo ɐɾ kɪ।"
228,ʃɔmoʃʃɐ ho͡ɪ̯be?
229,ʃɔmoʃʃɐ kɪ?
230,<> t̪o ʃɔmoʃʃɐ।
231,"t̪o edɐ nɐm, t̪oɾ nɐm kɪ?"
232,d̪eloɾ mothɔl।
233,"o, t̪oɾ bɔjoʃ kɔt̪o cɪ͡ɪ̯lbɐɾ nɐge elɐ?"
234,ɛkʃ ed̪ɐɾo।
235,ɛkʃo edɐɾo bɔchoɾ cɔle?
236,"ellɐ ɪjɐ ɾɐɟɐ ɐchɪʃ t̪o, nekɪ?"
237,"ho, oɟɐ।"
238,bɦɐt̪ kɪ d̪ɪ khɐchɪʃ?
239,"bɦɐt̪, mɐch।"
240,ɔh!
241,t̪ɐ khɐ͡o̯wɐ d̪ɐ͡o̯wɐ bɦɐloe̯ ho͡ɪ̯t̪eche?
242,kɪ mɐch d̪ɪje khɐlu?
243,kɪ mɐch?
244,ɪnt̪ɪn mɐch।
245,ɪnt̪ɐɾ mɐch d̪ɪje khɐchɪʃ?
246,kono pɐlu ɪɟɐl mɐch?
247,kɐe̯ ɐnche?
248,<> ɔɔɔ!
249,"t̪e ɪjɐ mojɐɟɐnɪ cɔɽche t̪o bɦɐloe̯, nɐkɪ?"
250,kono ɟɦɪ ɟɦɐmelɐ nɐ͡ɪ̯?
251,hɛkt hɐmelɐ nɐ͡ɪ̯।
252,"o, t̪ɐ͡ɪ̯le khɐ͡o̯wɐ-d̪ɐ͡o̯wɐ mɐnuʃe koɾɐe̯ bɦɐlobe?"
253,khɐ͡o̯wɐ-d̪ɐ͡o̯wɐ koɾɐe̯ t̪o।
254,kɔ͡ɪ̯l kɐɾ bɐɽɪt̪o khɐ͡ɪ̯cen?
255,ko͡ɪ̯l?
256,phulul cɐcɐɾ bɐɽɪt̪o।
257,"o, t̪ɐɾ ɐgeɾ d̪ɪn?"
258,hɐnɪpeɾ bɐɽɪt̪o।
