id,string
127,"m m m, m m m m m m m m m m m m m m m m m m m m m m m m m e e e m"
128,m m k k?
129,k k?
130,m m m m m
131,m m m m
132,m m > m m k k?
133,m m!
134,m m m m m
135,m m m m m
136,m m m m
137,m m m m m m m m m m m m m m m m
138,"m m > m m m m m m, m m m m m, m m m m?"
139,> m m m m
140,> m m m m
141,m m m m
142,h!
143,m m > m m m m m m m m m m m m m m m m m m m m m m m m m e e > m 
144,> k?
145,> m 
146,m m > m m m k k?
147,m
148,m e
149,m m m m m m >
150,m m e
151,m m e
152,m
153,m > m
154,> m m m m m >
155,m m m m m
156,", m m > m m m, m"
157,m m e
158,m m m m
159,m m m m
160,m m e
161,m m e
162,m m m m m
163,m m e
164,> m k k?
165,m m e
166,m m k k?
167,m m m m m m m m m m m k k?
168,m m m m m m
169,m m > m k k?
170,m m m m
171,m k k?
172,"m m m m m m, m, m, m m m m m"
173,m m m m >
174,m m m m k k?
175,m e
176,m m m e!
177,m m k k?
178,m m!
179,"m e, m m m m m e"
180,m m e
181,k?
182,"m m m m m, ""m m m"""
183,"m m m m m, ""m m m m m"
184,m m m m
185,m m m m
186,"m m m """
187,m m m m
188,k k?
189,m k k?
190,m
191,k?
192,"m m m m m m m m m m m m m m m, m m m m m m m m m m m m m e e e e"
193,m m m m m m m m m m m m m m m m
194,m m m m m m
195,"m m m m, m m m-m m m"
196,m e
197,m e
198,"m e, m m e e, m, m e e"
199,"m m, m m, m m m, m"
200,"m m m m m m m m -m, m-m, m-m, m m m m m, m m m m m, m m m m"
201,m m m m m m
202,> m m m m m
203,m m m m m m
204,m m k k?
205,m m m m m
206,"> m e, m m e > m"
207,"m m m m m, m > m?"
208,m e
209,"m m, m, m, m m, m m m m, m m m m m m m m m m m m m m"
210,m m m m
211,", m m e"
212,m m k k?
213,m m e
214,"m m m m m m m m, m m m m m, m m m m m m"
215,m m k k?
216,m m m m
217,", m m m m"
218,", m m m m"
219,m m m m m m m
220,m > m m m m m m m
221,m e
222,m k k?
223,k k?
224,", "
225,"m m m -m m, m m m, m m?"
226,m m m m
227,"- e, -e e e e"
228,k k?
229,k k?
230,> m 
231,"m m e, m m e?"
232,m e
233,", m m m m k k?"
234,m e
235,m m k k?
236,"m m m m m, m?"
237,", "
238,m m k k?
239,", "
240,h!
241,m m m k k?
242,m m k k?
243,k k?
244,m e
245,m m k k?
246,m m k k?
247,k k?
248,> h!
249,"m m m m m m, m?"
250,m m k k?
251,m m e
252,", m -m m k k?"
253,- m e che
254,m m k k?
255,k?
256,m m e
257,", m e k?"
258,m e
259,", m m m k k?"
260,m m e
261,m m m -m m?
262,m e
263,m k k?
264,m m m m
265,"m e, m m e e k?"
266,"m m m e, m m, m m"
267,m m k k?
268,m m m k k?
269,", "
270,", "
271,"m e, m m m e k k?"
272,"m e, m m m m m e k k k?"
273,"m m m m m, m m?"
274,"m m m m m, m m?"
275,m
276,"m m m m, m!"
277,k?
278,> - m m k k?
279,", - ,    k k?"
280,m
281,m m m m m m
282,", m m m, m m m m m"
283,"m m e, m m e, e?"
284,"m m e, m e?"
285,"m m m m m, m?"
286,", "
287,m m m m m m m k k?
288,m m k k?
289,m > m-m m
290,"-, - e?"
291,", m m m m"
292,m m k k?
293,m m m m m m
294,m m m m m k k?
295,m m m m m m m
296,m
297,m m m m m m
298,"m e, m m e e k?"
299,m k k?
300,", -  e"
301,> m m k k?
302,> m m k k?
303,", ?"
304,"m m e e, m e e e k?"
305,"m m e, > m m m m e"
306,k?
307,m m e
308,m m k k?
309,"m m m m m, m m, m m m"
310,m e
311,"m m m m, m?"
312,k?
313,"m m m m m, m m m m k?"
314,m k k?
315,", m e k?"
316,m k k?
317,m e
318,k?
319,m m k k?
320,", "
321,"> m e k,?"
322,k k?
323,", m m e"
324,"m m m, m?"
325,"m e, m e"
326,"m m m m m m m m m, m?"
327,m e
328,"m e, m m m e k k?"
329,m m m k k?
330,m
331,k?
332,", m m k k?"
333,m e
334,- k k?
335,- m m k k k?
336,", m m m e!"
337,"m m e, m e?"
338,m -m m m m m
339,m m m k k?
340,m m e
341,"m m m m m m m, m?"
342,k?
343,"m m m m m, m?"
344,m m m k k?
345,m k k?
346,m m k k?
347,"m m m m m m, m?"
348,m m m m k k?
349,k k?
350,"m m m m m, m m, m m m?"
351,"m m e, m m e"
352,"m e, m m e k?"
353,"m m e, m m e"
354,m > m k?
355,m e
356,m m m m
357,m m m m m m m m m m m m
358,m m > m k k?
359,m e
360,m
361,k k?
362,m k k?
363,m m m k k?
364,m m m m m
365,m m e
366,"m m m m m m, m?"
367,m m k k?
368,k k?
369,m > m?
370,> m 
371,m m m m m
372,"m e, m m m e e!"
373,"m m m m m, m-m m"
374,"m m m m, m m"
375,m m m m m m
376,m m m m m m > m
377,m e
378,m m e
379,m m m m m m
380,m m m k k?
381,", "
382,m m m m m
383,m m e
384,m m m m k k?
385,m m m m m
386,m m m m k k?
387,m m m m
388,m m k k?
389,k k?
390,m e
391,k k?
392,m k k?
393,m e
394,"m e, m e"
395,m m k k?
396,m m m m
397,> k?
398,m e
399,k k?
400,m m e
401,m k k?
402,m m e
403,m m m k k?
404,k?
405,m m m k k?
406,m k k?
407,"m m m, m?"
408,m m m m m m m
409,m m k k?
410,m m m m m
411,m m k k?
412,m m m m m m!
413,m m!
414,"m m m, m"
415,h!
416,k k?
417,m k k?
418,", , ,  "
419,m e
420,m
421,m k k?
422,m m m e!
423,h!
424,h!
425,m m m m m m m m m!
426,m m m m m m m m m m m m
427,m m m m m
428,m m m > m
429,m m m m k k?
430,m m m m k k?
431,"m m m m, m - m m m m m m"
432,k?
433,m m e
434,m m m m m m m
435,m m e!
436,"m m m m m, m?"
437,k k?
438,"m m m m m m m m, m m m m m m m, m m m m m m m m m m?"
439,m e
440,", m e k?"
441,m m k k?
442,k?
443,k?
444,m m m m m
445,k?
446,k?
447,"m m m m, m m m m m m"
448,m m m m m m
449,m m m m m
450,> m m m m m m
451,"m e, m m m e e"
452,m k k?
453,"m e, m e?"
454,m m m m m m m m m
455,m m m m m
456,m m m m
457,m m m m k k?
458,m m e
459,m m m m m m m m m
460,m m m m
461,"m m m m m, m m m, m"
462,m m e
463,"m, m m m, m m m m, m m m m m m m, m m m m m m m m m m m m e, m m "
464,m m m m m k k?
465,m m e!
466,", m m m, m m?"
467,m m m m m
468,"m m m m m, m m m m m, m"
469,m m e
470,"m m m, m m"
471,m m k k?
472,m
473,m m m k k?
474,"m e, m e e, e"
475,m e
476,"> m m m m m m m m, m m m m m"
477,"m m m m m, m m m, m"
478,k k?
479,"m m e, m m e e, m"
480,m m m m
481,m m m m k k?
482,"m m-m m m m m,m m, m, m"
483,"m e, m e"
484,"m m m, m m, m m m m m m m m m m m m m m m m m m m m m m m e e e "
485,m m k k?
486,k k?
487,"> m m m m m m, m m m m m m m m m m m m k?"
488,"m m m, m > m, m m m, m m m m m"
489,"m m, m m m m m m, m, m m m m, m?"
490,", "
491,"m-mne m m, m m m m m m, m m m, m m m m m, m m m m m, m m m m-m m m "
492,"m m m m m m, m m m m m m m m"
493,m
494,"m e, m m m e k k?"
495,","
496,m m m m m m
497,"m m m m m m m m, m m m m m m, m m m m m m"
498,m m k k?
499,m m e
500,m k k?
501,"m m, m m, m m m-m m"
502,- k?
503,"m e, m m e k?"
504,"m m, m m m m m m, m m m m m"
505,"m, m m, m m m m k k k?"
506,", m m e"
507,m k k?
508,"m m m m, m?"
509,m m m m
510,"m e, m-m e e, m, m?"
511,", m "
512,m m -m m?
513,"m, m m, m m m m > m, m m m m m m m m m m m m m m m m m m m, m m, m"
514,m m e
515,m k k?
516,m m e
517,m k k?
518,m m m m
519,"m m m m m m, m m, m m m m m m m m m m m, m m m m m m m m e e e e"
520,"m m m m m, m?"
521,", m "
522,m m m k k?
523,m m m m k k?
524,"m m m m m, m m m m m, m m"
525,"m m m m e, >"
526,"m m e, m m e k?"
527,"m, m, m m m m m m, m m m m m m m"
528,m m m m m m
529,"m m m m, m m m m -m m"
530,"m m m m, m m m"
531,"m m e, m m m m-m m"
532,"m, m m m m m m m m, m, m m m m m m m m m m m m m m m m m, m m m m"
533,"m m m m m, m m m m m m"
534,m
535,m e
536,"m m e, m m e"
537,"m m, m m m m m m m m m m m m m m, m m m m?"
538,"m m m, > m m m m m, m m m m m m m m, m m m m m m m, m m m e e e m"
539,m m m m m m
540,m e
541,m m m m m
542,k?
543,"m m e, m m e, m"
544,"m e, m m -m, m, m m"
545,"m e, m m e e"
546,"m m-m m m m m -m m m m m m, m m, m m m"
547,m m -m m
548,m m m m m m m m m
549,m m m m m m m m m m m m m m m m m m m m m m m
550,m m m m m
551,m m m m
552,m m m m m m
553,m e
554,", m m m m m m"
555,"m m m m m m m m m, m m m, m m m, m m m m, m m m?"
556,m m m m k k?
557,"m m m m, m m m m, m m m m m m m, m m m m m m m m m m m m e e e e"
558,"m m, m, m m m"
559,m m m m m m m m m
560,"m e, m m e e e, e"
561,"m, m, m m, m m m m m m, m m m m m m, m, m m m m m m m m m, "
562,", m m m m m, > m m m m m m m m m"
563,", m m m m, m m m m m"
564,", m m m m m m m, m m m m m, m m m m, m!"
565,"m m m m, m m!"
566,"m m e, m m e > m m e"
567,", m m m m m m"
568,m m m m m
569,m m m m m
570,m m m m m
571,m m m m m m m m m m m m m m m m
572,m m e
573,m m m m m m
574,m m m m m m m m m
575,m m m m m
576,m k k?
577,m m m m m m m
578,m e
579,m m m m
580,"m e, m m m e e"
581,", m m m m k k?"
582,m m k k?
583,"m -mne m, m m m m m m m m m m"
584,"m m m m m m, m, m, m, m m, m m m m m"
585,"m e, m m e e"
586,"m > m m m, m m m m m, m m"
587,m m e
588,",, m , m m m m m m m m m"
589,"m m m m m, m m m m m m"
590,"> m m m m m, m m"
591,- che
592,m k k?
593,"m e, m m m e e"
594,"m m e, m m m m e e e, e?"
595,"m m m m m m m, m m m m m m"
596,"m m e, m m e, m m m e"
597,m k k?
598,m m m m m m m m m m m m
599,"m m m m, m m m m m m m m m m"
600,",, m , m "
601,"m e, m m e e"
602,"m m m m m m m m m m, m m m m m m m m m m m, m m m m m"
603,"m m m m m, m?"
604,"m m m m m m m, m m m m m m, m, m m m m"
605,"m m e, m m m m e"
606,m m k k?
607,"m m m m m m, m, m m m m m m m m m m m m m m m m"
608,", m m m m m m m m"
609,"m m m, m m, m m m m m m m, m m m m m m, m m m m m"
610,"m, m m, m m m m m m m m m m m m m m, m, m m m m m m m m m e, m m, "
611,m m e
612,"m m e, m m m e, m m m e k?"
613,", m e > "
614,"m, m m m, m m m m m m m m m m m m m m m m m m m m m m m m, m m m"
615,", m m m m"
616,"m m m m m m m, m m m m m m"
617,", m e k?"
618,m e
619,m k k?
620,m k k?
621,m m e
622,"m m e, m m m e e, m m m m m e e"
623,m k k?
624,m m m m m
625,m m m m
626,k k?
627,"m m e, m m m e e, m, m e?"
628,"m m, m, m m"
629,", m m m m m"
630,", m m m m-m m m m m m m m m m m m m m m m m m m m m m m e, m m e"
631,"m m m, m m m m m m m m m m m m m m, m m m m"
632,k?
633,m m m m
634,m
635,"m m e, m e?"
636,> 
637,"m m m m m m, m m m m m, m m m m m m m, m m m m m m m"
638,m m m m m
639,m
640,m m m m m m m
641,"m m m m m m m, m-m"
642,"m m m m m m m m m, m m"
643,> m 
644,m m m m
645,"m m, m m, m m m m m, m m?"
646,"m m, m m m m m m, m m m m m m m, m m m m m m m m m, m m m e e m m"
647,"m m m m m, m m m m k?"
648,m e
649,m e
650,"m m, m m m m m m m, m m m m m m m m, m?"
651,m m e
652,"m m m m m m m m m m, m m m m m m m, m m-m m m m m m m m m e e e e"
653,"m m m,"
654,"m > m m m m, m m m?"
655,"m, m m, m m m, > m m k k?"
656,m m m m m m
657,m m -m m
658,", m , m"
659,"m m m m m m m, m m m m, m m m m, m m m m"
660,"m m m m m m, m m m m m m m m"
661,", "
662,"m m m m m m m, m m m m m m, m, m"
663,m m m m m
664,"m m m m, m m"
665,"m m m m m m, m, m m m m m, m m m m"
666,", m "
667,", m , m, m m m m m"
668,"m m m m m, m, m m m m m m m, m m m m m m m m m"
669,"m m m m m m m, m m m m m m m m, m m m m m m m m m m m"
670,m m m m m m m m m m m m
671,", m "
672,"m m e, m m m e"
673,"m m, m, m m m m m m"
674,"m m m m, m m m m"
675,m m m m
676,m k k?
677,m m e
678,"m m m m m m m, m m m m, m m m m m, m m m m"
679,m m e
680,"m m e, m e, m m m e, m m"
681,"m m m m m m, m m m"
682,"m > m m m m, m?"
683,m m -m m m
684,"m e, m m e e, e?"
685,"m m m m m, m m m m m m"
686,"m e, m m m e e"
687,"m m m m m m m, m m m m m m, m, m m?"
688,m e
689,> 
690,"m m, m?"
691,"m m m, m"
692,k k?
693,"> m m e e, m e, m m e e e k k?"
694,","
695,k k?
696,"m , m"
697,"m m m > m m m m m m m m, m m m m m"
698,k?
699,"m m e, m m m m m m m m m"
700,"m m m, m m m m, m m m m m m m m m m m m m m m m m m m m m e e e "
701,"m e, m m e e, e, e?"
702,", m m m m m m m m m m m, m m m m m m m m"
703,"m m m, m m, m m m m, m m m m m m m m m m m m m m m m m m e k e k, "
704,m m > m m
705,"m m m m m m m, m, m m m m m m"
706,"m m m m m m m m m, m"
707,"m m m, m m m m m, m, m m m m m m m m, m m m m m m m m m m m e e m"
708,"m, m m m, m m m m m, m m m m m m m, m m m m m m m m m m, m m m m "
709,", m , m m m k k?"
710,", m m m m m m"
711,"m m m m m m, m m m m m m m m m m m, m m m m m m m m m m m m e k e"
712,m m m m
713,m m m m m m m
714,k?
715,"m m m m m m m, ""m, m m m m m"""
716,"m e, ""m m e"""
717,"m m m > m m m m m, m m m m k?"
718,"m m m m m, m, m m m m m m m m m m m m m m m m m m m m m m m e e "
719,"m m m m m, m m m m m m"
720,"m e, m e"
721,"m m m m m, m m m m, m m m m, m"
722,m m m m m m
723,"m m m, m m m m m m m m m m m m, m m m m m m m m m m m m m e k e, "
724,m m m k k?
725,m e
726,m m m m m m m m m
727,m e
728,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e e
729,"m m m m m m m m m m m m, m m m m"
730,m m m m m m
731,m m m m m m m
732,m e
733,m e
734,m m m m m m m m m m m m m m m m
735,m m m m
736,m m m m m m m
737,m
738,m m m m m
739,"m m e, m m m m m m m m m m m m m"
740,m m m m
741,"m m m > m m, m m m"
742,m m m m m
743,m m m m m m!
744,m m m m m!
745,m m e!
746,m m m m m
747,m m m m
748,m e
749,m m m m m m m m m
750,m m m m m m m
751,m m m m m m m m m m m m m m m m
752,m m m m m k k?
753,m m e
754,m m m m m m
755,m m m k k?
756,m m e
757,m m m m m m m m m m m m m m m m m m m m m m m
758,m e
759,k k?
760,m m m m m m m m m m m m
761,k k?
762,m m m m m
763,m m m m m m m
764,m m m m m m m m m m m m m m m m
765,"m e, m m m e e"
766,m m m m m m
767,"m m e, m m m m m m m m m, m m m m m m"
768,"m m m m m m m, m m m m m m m m m m m m m m m m m m m m m e e e e"
769,m m m m m m m m m m m m m m m m m m m m m m m
770,m m k k?
771,m m m m m m m m m m m m
772,m k k?
773,m m e
774,m m m m m m
775,m m m m m
776,", m m m m m m m m"
777,", m m m m m m m m m m m m m, m m m m > m"
778,m m m m m m m m m
779,m m m m
780,> k?
781,m m m m m m m m m
782,"m m m m m m, m m m m m m m m, m m m m, m m?"
783,"m m m m m, m m m m m, m m m m m m m m"
784,m m m m
785,m e
786,m m k k?
787,m e
788,m m k k?
789,m m e
790,"m m m m m m m m m m m m m m, m m?"
791,"m m e, m m m m m m, m m m m"
792,"m m e, m m m m m e"
793,"m m m m, m, m"
794,m
795,"m m m, m m m m m m, m m m m m m m, m m m m m m m m"
796,"m m m m, m m, m m m, m m m?"
797,", , , m m k k?"
798,m k k?
799,m m m k k?
800,"m m m m, m m m"
801,"m m m m m m, m m m m m m m m, m m m m, m"
802,m e
803,"m m e, m m m m m m, m m m m m > m m m k?"
804,k k?
805,"m e, m e, > e"
806,"m m m m m, m m m, m m m m m m m m m"
807,m e
808,"m m m m m m, m?"
809,"m m m m m m m m m m, m m m m m"
810,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m
811,m m m m m m m m m
812,k k?
813,m m e
814,m m m m m m m
815,m m m m m m m m m!
816,"m m m, m, m"
817,m m m m m
818,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e e e
819,m m m m m
820,m m m m
821,m m m m m m m m m m m m m m m m m m m m m m!
822,m m k k?
823,m m k k?
824,"m , ""m m k?"
825,m m m m m k?
826,", "" k?"
827,m m m k?
828,m k k?
829,m m m m m m
830,k?
831,m m e
832,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e e e
833,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e e
834,m m m m m
835,m m m m m m
836,m m m m m m m
837,m
838,m m m m k k?
839,k k?
840,", , ?"
841,k k?
842,m m m k k?
843,m m m m m m
844,m m m k k?
845,", m m m m m m m m m m"
846,m m m m
847,m m m m m m
848,m m m m m
849,m k k?
850,m m m m
851,m m m m m m m
852,"m m m m, m m m m m, m m m m m -m m m m, m m m m"
853,"m m m m m m m m m, m, m m m m m m, m m m m -m m m m m m m e e e e"
854,m m m m m k k?
855,m m m m m k k?
856,"m m m m m m, m m m m m m, m m m m m m"
857,", m m m m, m m m"
858,k k?
859,"m m m m m m, m m m m m m m, m m m m m m m m m m m m m m"
860,"m m m m m m, m m m m m m m m m m m m m m m m m m m m m m e e e e"
861,"m m m m m m, m m m m m m m m m m m m m m m m"
862,m m m m
863,m m m k k?
864,"m m m m,"
865,m m m m m m m m m m m m
866,m m k k?
867,m m m m m m k k?
868,k k?
869,m m m m
870,"m m m m m m m m m m m m, m m m m?"
871,m k k?
872,m m m m
873,m m m m m
874,m k k?
875,m m e
876,"m m m m m m, m?"
877,m m m m m
878,m m m m
879,m
880,m m m m m m
881,m e
882,m m e
883,m m m m m
884,m m m m m
885,m m m m m
886,"m e, ""m, m m m e"""
887,"m , m"
888,"m e, m m e e"
889,m m m m
890,m m e
891,"m e, m e?"
892,m m m m
893,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e e
894,"m e, m m e e"
895,m m m m m m m
896,m m m k k?
897,", "
898,"m e, m m e"
899,m m m m m
900,m m m m
901,m m m m
902,m m m m m m
903,m m m m m
904,m m m m m
905,m m m m
906,m m m m
907,m m m m m m k k?
908,"m e, m e e!"
909,"m m m m m, m, m, m m m m m m, m m m m m m m m m m m m m, m e k e e"
910,m m -m m k?
911,m
912,"m, m m m m m m, m m m m m, m m -m-m m m m, m m m m m m m m e, m m m"
913,m m m m m m k k?
914,"m e, m e e, m e e e e"
915,"m e, m m m m m m m, m m m m m m"
916,"m m m e, m m m e, m"
917,"m e, m e?"
918,m k k?
919,m m m m m!
920,", m m m m m"
921,m m m m m m m
922,"m m m m m m, m m m m m m m m m m m"
923,"m m m m m m m, m m m m, m m m m m m m m m m m"
924,"m m m m, m m m m m m, m m m m"
925,m m m m m m m m m m m m m m m m m m m m m m m
926,"m e, m m e e"
927,"m e, m m e e"
928,", m m e"
929,", , "
930,"m m, m, m m m m m m m m, m"
931,m m e
932,m m e
933,"m m e, m m m e"
934,m m e
935,"m m, m m, m m, m"
936,"m m m, m?"
937,m k k?
938,m m m m
939,"m m m m m m m m, m m m m m, m m m m"
940,"m m m, m m m m m m m, m m m m m, m m?"
941,"m m e, m m m m e k k?"
942,"m m m m, m m m"
943,"m, m m m m m m, m m m m m m m m!"
944,m m m m m m!
945,m m e
946,m m m m
947,"m e, m m e e, m e e"
948,m m m m
949,"m m m m m, m m m m k k?"
950,"m m m m m, m m m m m, m"
951,"m m m m, m m"
952,"m m m m m m, m m m"
953,", , , m m m m m m"
954,", m ?"
955,"m m, m m, m m m m m, m m m m"
956,"m e, m m e e e, e e?"
957,m m e
958,"m m e, m, m, m m m m m m m m, m"
959,"m m m m m m, m m m m m m m m, m m m m m m m m m m"
960,"m m m m, m m m m m m m m m m"
961,m m m m m
962,"m m m m, m, m m m m, m m m m"
963,m m e
964,"m m m m m m m m m m m m m m, m m m m, m m m m m, m m m m e e e e"
965,", m m m m m m m m m m"
966,"m e, m e e, > m m e e e e e, m e e e e e"
967,", m m m m, m m m m m"
968,"> m e, m m e e, m m e e e e e e e"
969,", , m m m m, m m m m m"
970,", m , m m k?"
971,m e
972,"m m, m, m-m m m m m m m, m m m m m m m m, m m m m m"
973,"m m m m, m m m"
974,"m m m m m, m, m m m m m m m m m, m?"
975,", m m k k?"
976,"m m m, m m m m m, m, m m m m m m m m m m m m m m m m m m e e e m"
977,", , ,, m m m m m, m"
978,m e
979,k?
980,m
981,"m e, m e"
982,m m m m
983,"m m m m, m m m m m m m m m m m m m m"
984,"m m e, m m m e"
985,m m m k k?
986,"m m e, m m e"
987,"m m e, m m m m e"
988,m m m m m m m k k?
989,m e
990,m m m m m m m m m
991,m m e
992,m m m m
993,m k k?
994,m m m m
995,m e
996,m m m m m m
997,m m m m m
998,m m m m m m m m m
999,m m m m
1000,m e
1001,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e k 
1002,k?
1003,"m e, m m e"
1004,m m m m
1005,m e
1006,m m m m
1007,m m m m
1008,", m m e"
1009,"m e, m m m m m m m m m m m m m m m m m"
1010,m m m m m m m m m
1011,m m k k?
1012,m m e
1013,m m m m m m m m m m m m
1014,"m m m m m m m m m m, m m m m m m m m m m m m m m m m m m e k e e"
1015,m m > m m m m m m m m m m m m m m m m m m m m m m m m m e e > m 
1016,m m m m m m m m m m m m
1017,m m m m m m
1018,m m m m
1019,m m m m
1020,m m e
1021,m m > m m m m
1022,m m m m m m m m m m m m m m m m m m m m m m m m m m m m m m e e
1023,"m m m m m, m m"
1024,m m m m m
1025,m m e
1026,m m m m m m k k?
1027,m m m m m m
1028,m m m m m
1029,m m m m m m k k?
1030,m m m m m m m m m m m m
1031,"m m m m, m m m m m m"
1032,m m m m m m m m m m m m m m m m
1033,", m m m m k k?"
1034,m m e
1035,m m m m m
1036,m m m m m m m m m m m k k?
1037,m m m m m
1038,m m e
1039,m m m m m
1040,", m m m m m"
1041,k k?
1042,m m m m
1043,m m e
1044,"m m m m m, m m?"
1045,m m m k k?
1046,m e
1047,"m m m m, m m m, m"
1048,", "
1049,"m m m m m m, m m m m m m, m m m m m m"
1050,"m e, m m e"
1051,"m e, m m m m e e e, m, m"
1052,"m m e, m m e k?"
1053,"m m, m, m m, m m?"
1054,", "
1055,m k k?
1056,"m e, m m e e"
1057,"m m m m, m m m"
1058,"m e, m m e"
1059,m e
1060,"m m m, m m m m m m m m m m -m m m m, m m m m"
1061,k k?
1062,> 
1063,k k?
1064,", m e > m m e k k k?"
1065,", "
1066,"m m m m m, m?"
1067,m m m m m k k?
1068,"m m m, m m m m m m m, m m m m m m m m m m m m m m m m m m e e e "
1069,"- m m m m m m, m?"
1070,k?
1071,", m m m m m, m m"
1072,m m e
1073,m m m m m m
1074,m m m m m m
1075,"m m m e, m m m, m m"
1076,m m m m m m m
1077,"m m m m m, m m m m m m"
1078,"m m e, m m m m m m, m m m m m m"
1079,"m m e, m, m m e"
1080,"m e, m e, m, > m e"
1081,", m "
1082,m m m m >
1083,m m m > m m m m m m
1084,m m > m m m m m m m m m m m m m m m m m m m m m m m m m e e > m 
1085,m m m m m
1086,m k k?
1087,", m m m m"
1088,"m m m m m, m?"
1089,"m m m > m m > m m m > m, m m m m m m m m m m"
1090,"m m m m m m, m m m"
1091,"m e, m m e"
1092,", , m m , ?"
1093,m m m m
1094,"m m e, m m e?"
1095,m m m m m m
1096,m m m m m
1097,"m m e, m m m m e"
1098,"m m m m, m m m m m m m m m m m m m m m m m m m m m m m m e e e e"
1099,m m e
1100,"m m m m, m m m m m m"
1101,m m m m k k?
1102,", "
1103,"m m, m m m, m m m m m m, m m m m m m m m m m m m, m m m m e e m m"
1104,", m m m m"
1105,m m m m m
1106,m m m m m m
1107,"m m m, m?"
1108,", , m m m m m m m m m"
1109,", , m m k k?"
1110,"m e, m e"
1111,m m m m m m
1112,", m m m m m"
1113,m e
1114,"m m m m m m m m, m, m m m m m m m m m m m m m m m m m"
1115,"m m m m m m m m, m m"
1116,"m m m m, m m m m"
1117,m m m m m m m m m
1118,"m m m m m m, m m, m m m m m, m m m m"
1119,"- m e e e, m e"
1120,m m m m
1121,m m m m m
1122,m m e
1123,"m m m, m?"
1124,"m, m, m m, m m m k k?"
1125,"m e, m m e"
1126,"m m e, m m e"
1127,"m m m m m, m m m m k?"
1128,", m m m, m m m -m m m m m"
1129,k?
1130,m
1131,m k k?
1132,"m, m m, m m m m m, m m m m?"
1133,"> m m m m m m, m, m-m m"
1134,"m m m m, m m m m m m"
1135,"m m m, m?"
1136,"m m m m m m, m m, m m m m m m m k k?"
1137,"m m e, m-m e"
1138,", m m m, m, m, m m m m"
